date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-08-13,Bagerhat,Khulna,22.655478,89.794181,31.98,63,1004,3.95,100,0.0,1,1.67,3.25,44.93,0.09,0.13,150.55
2025-08-13,Bandarban,Chattogram,21.787476,92.412475,32.08,62,1005,2.22,100,0.0,1,2.01,3.25,39.04,0.19,0.1,105.56
2025-08-13,Barguna,Barishal,22.131336,90.117243,31.07,68,1005,5.56,100,0.0,1,1.53,2.81,52.46,0.04,0.1,156.59
2025-08-13,Barishal,Barishal,22.493403,90.354801,30.44,69,1005,4.14,100,0.55,1,1.84,3.2,49.98,0.04,0.08,151.99
2025-08-13,Bhola,Barishal,22.143569,90.790409,28.74,82,1005,6.99,100,0.0,1,2.03,3.85,48.93,0.05,0.11,134.81
2025-08-13,Bogura,Rajshahi,24.850066,89.372843,26.98,84,1006,3.45,100,0.0,2,11.15,15.4,43.04,6.39,6.76,259.8
2025-08-13,Brahmanbaria,Chattogram,23.9606,91.119089,27.06,100,1006,1.54,75,0.12,1,1.74,2.4,35.87,1.46,0.39,152.62
2025-08-13,Chandpur,Chattogram,23.224176,90.6531,27.57,86,1006,3.04,100,4.86,1,1.2,1.59,42.95,0.44,0.25,149.03
2025-08-13,Chapai Nawabganj,Rajshahi,24.599887,88.285047,26.21,89,1005,2.4,100,0.58,2,19.41,25.47,40.61,14.57,13.39,345.86
2025-08-13,Chattogram,Chattogram,22.333778,91.834435,29.93,89,1005,3.09,75,0.0,1,1.62,2.62,39.04,0.25,0.08,99.54
2025-08-13,Chuadanga,Khulna,23.643661,88.846448,29.03,83,1005,3.51,100,0.3,2,13.7,21.18,32.51,14.73,18.66,352.55
2025-08-13,Cox's Bazar,Chattogram,21.176647,92.003505,28.95,81,1005,8.75,100,0.0,1,3.44,6.24,45.47,0.2,0.15,117.05
2025-08-13,Cumilla,Chattogram,23.461061,91.180875,27.6,86,1006,2.22,100,0.0,1,1.6,2.07,38.83,0.87,0.22,144.22
2025-08-13,Dhaka,Dhaka,23.764386,90.389014,27.17,86,1006,3.78,100,0.65,1,1.98,2.78,34.9,1.52,0.58,148.44
2025-08-13,Dinajpur,Rangpur,25.626071,88.634623,25.64,97,1004,4.2,100,0.65,3,31.48,38.15,41.26,15.47,19.67,370.59
2025-08-13,Faridpur,Dhaka,23.604018,89.841554,27.97,85,1005,3.39,100,0.42,1,2.78,3.9,33.94,2.26,1.66,157.81
2025-08-13,Feni,Chattogram,23.01276,91.404923,28.88,78,1006,2.16,100,0.56,1,1.67,2.24,38.33,0.89,0.21,125.3
2025-08-13,Gaibandha,Rangpur,25.086001,89.869644,26.45,92,1006,3.35,100,0.0,1,5.36,7.15,40.83,2.53,0.79,199.39
2025-08-13,Gazipur,Dhaka,23.999756,90.417363,25.89,93,1006,4.76,100,0.33,1,2.02,3.01,32.78,1.8,0.61,152.11
2025-08-13,Gopalganj,Dhaka,23.004994,89.830318,31.01,68,1005,2.77,100,0.13,1,1.51,2.38,39.45,0.74,0.92,143.37
2025-08-13,Habiganj,Sylhet,24.374603,91.414027,24.93,98,1006,3.64,100,0.0,1,3.41,4.68,28.77,4.19,2.19,174.93
2025-08-13,Jamalpur,Mymensingh,24.925587,89.943668,26.53,92,1006,4.16,100,0.0,1,5.0,6.69,37.08,2.99,0.84,194.54
2025-08-13,Jashore,Khulna,23.166526,89.209442,29.09,80,1005,2.64,100,0.0,1,2.27,3.71,38.13,2.43,3.44,160.55
2025-08-13,Jhalokathi,Barishal,22.56239,90.174282,30.3,69,1005,4.08,100,0.11,1,1.72,2.96,50.44,0.04,0.08,157.27
2025-08-13,Jhenaidah,Khulna,23.544696,89.173194,28.66,84,1005,2.37,100,0.36,1,6.82,10.5,34.92,7.84,10.12,239.4
2025-08-13,Joypurhat,Rajshahi,25.111402,88.98842,25.98,95,1005,2.68,100,0.0,2,20.8,28.85,42.8,11.96,19.79,319.54
2025-08-13,Khagrachhari,Chattogram,23.1078,91.988996,30.39,71,1006,0.65,100,0.0,1,1.62,1.99,35.73,1.72,0.49,121.21
2025-08-13,Khulna,Khulna,22.937209,89.285274,29.61,78,1005,3.47,100,0.0,1,1.95,3.42,41.34,1.29,1.81,156.18
2025-08-13,Kishoreganj,Dhaka,24.433982,90.785723,25.96,93,1007,4.76,100,0.0,1,2.68,4.21,19.26,4.66,1.69,165.73
2025-08-13,Kurigram,Rangpur,25.813013,89.643052,26.11,94,1006,4.22,100,0.12,2,13.41,16.58,49.25,4.11,1.38,288.49
2025-08-13,Kushtia,Khulna,23.898795,89.129554,28.58,83,1005,3.41,100,0.75,2,14.05,21.48,30.6,14.08,17.18,349.78
2025-08-13,Lakshmipur,Chattogram,22.944537,90.827635,28.0,84,1005,4.16,100,0.87,1,1.75,2.84,44.82,0.22,0.1,137.16
2025-08-13,Lalmonirhat,Rangpur,25.916351,89.446139,25.87,94,1006,3.86,100,1.15,2,14.69,18.13,52.2,4.3,1.67,290.76
2025-08-13,Madaripur,Dhaka,23.167518,90.204727,27.7,87,1005,3.63,100,1.15,1,1.39,2.1,42.43,0.29,0.18,143.88
2025-08-13,Magura,Khulna,23.488077,89.420182,27.93,86,1005,2.41,100,0.15,1,2.93,4.32,33.01,2.9,3.57,162.04
2025-08-13,Manikganj,Dhaka,23.832984,89.966688,27.66,84,1005,3.92,100,0.56,1,3.47,4.84,33.11,2.85,1.82,167.71
2025-08-13,Meherpur,Khulna,23.781785,88.636937,28.87,84,1005,3.68,100,0.1,2,13.75,20.29,35.52,14.07,16.15,347.75
2025-08-13,Moulvibazar,Sylhet,24.488082,91.763018,26.62,91,1007,1.91,100,0.42,1,4.34,6.0,25.17,4.88,2.23,183.69
2025-08-13,Munshiganj,Dhaka,23.54838,90.534972,27.68,85,1006,2.92,100,1.54,1,1.45,2.05,38.25,0.88,0.36,146.77
2025-08-13,Mymensingh,Mymensingh,24.888931,90.384519,26.76,90,1006,4.13,100,0.65,1,5.07,6.98,27.13,4.82,1.67,205.44
2025-08-13,Naogaon,Rajshahi,24.807323,88.944545,26.03,91,1005,2.15,100,0.0,2,21.33,29.51,38.74,13.27,17.51,355.35
2025-08-13,Narail,Khulna,25.074884,90.391651,26.33,93,1006,3.12,100,0.12,1,5.81,7.96,28.8,5.1,1.99,221.46
2025-08-13,Narayanganj,Dhaka,23.623673,90.498807,27.51,85,1006,2.97,100,1.33,1,1.74,2.53,35.52,1.34,0.49,149.44
2025-08-13,Narsingdi,Dhaka,23.919715,90.715298,25.38,96,1005,3.01,100,0.0,1,1.64,2.62,32.72,1.53,0.47,151.14
2025-08-13,Natore,Rajshahi,24.413185,88.986668,26.6,91,1005,1.96,100,0.0,2,22.37,30.83,30.62,15.9,12.95,427.06
2025-08-13,Netrokona,Mymensingh,24.891567,90.712533,26.8,88,1006,5.33,100,0.15,1,6.27,9.24,15.36,8.43,3.85,244.67
2025-08-13,Nilphamari,Rangpur,25.933927,88.853459,25.59,97,1005,5.27,99,0.37,3,33.46,39.79,38.69,17.01,18.45,397.15
2025-08-13,Noakhali,Chattogram,22.25408,91.17144,28.09,85,1005,8.01,100,0.13,1,2.01,3.86,44.91,0.09,0.09,119.39
2025-08-13,Pabna,Rajshahi,24.006808,89.244834,29.03,79,1005,3.17,100,0.32,1,9.85,14.31,32.91,8.55,8.72,273.43
2025-08-13,Panchagarh,Rangpur,26.320945,88.547114,25.9,95,1005,4.79,95,0.15,3,46.53,53.3,34.38,15.02,12.43,494.14
2025-08-13,Patuakhali,Barishal,22.008424,90.382683,29.94,76,1005,5.98,100,0.0,1,1.7,3.16,51.28,0.04,0.11,149.34
2025-08-13,Pirojpur,Barishal,22.50956,90.00725,30.82,67,1005,5.03,100,0.0,1,1.72,2.96,50.44,0.04,0.08,157.27
2025-08-13,Rajbari,Dhaka,23.739837,89.570413,28.02,83,1005,3.01,100,0.13,1,3.9,5.62,33.27,3.39,3.61,178.41
2025-08-13,Rajshahi,Rajshahi,24.628543,89.037686,25.97,90,1005,2.73,100,0.0,2,16.37,22.57,36.76,10.82,10.64,329.49
2025-08-13,Rangamati,Chattogram,22.650921,92.181433,30.29,72,1005,1.05,100,0.0,1,1.23,1.61,34.97,0.68,0.07,104.74
2025-08-13,Rangpur,Rangpur,25.637614,89.082638,25.62,95,1006,4.24,100,0.32,2,23.2,28.8,45.03,11.99,14.08,327.18
2025-08-13,Satkhira,Khulna,22.716651,89.074986,29.89,76,1004,5.02,100,0.0,1,1.66,2.89,46.42,0.17,0.2,156.57
2025-08-13,Shariatpur,Dhaka,23.213284,90.348125,27.51,88,1005,3.98,100,0.87,1,1.14,1.53,39.0,0.41,0.23,139.18
2025-08-13,Sherpur,Mymensingh,25.022837,90.014974,26.36,92,1006,4.04,100,0.0,1,4.68,6.06,36.5,2.49,0.52,190.12
2025-08-13,Sirajganj,Rajshahi,24.457224,89.705705,28.37,79,1005,3.75,100,1.54,1,4.51,6.06,33.11,3.75,1.22,192.43
2025-08-13,Sunamganj,Sylhet,25.067103,91.398582,25.61,95,1007,3.86,100,0.0,1,8.98,12.43,4.93,14.91,7.12,322.59
2025-08-13,Sylhet,Sylhet,24.89922,91.868527,26.24,90,1007,2.82,100,0.65,1,6.41,8.3,23.01,7.34,1.55,211.61
2025-08-13,Tangail,Dhaka,24.273851,89.937591,29.33,74,1006,3.1,100,0.31,1,4.01,5.45,30.76,3.55,1.24,179.14
2025-08-13,Thakurgaon,Rangpur,23.773143,90.359163,27.28,85,1006,3.89,100,0.87,1,1.98,2.78,34.9,1.52,0.58,148.44
